"","follower_count","following_count","like_count","retweet_count","Num_Syllables","Avg_Syllables","Avg_Words_in_Sentences","Flesh.Kincaid","Num_Big_words","Num_Long_Sentences","Num_Sentences","Num_Short_Sentences","Num_Urls","Num_words","Rate_Adv_adj","class","polarity","subjectibity"
"100",12616790,61,44,12,41,2.1666666667,17,16.9966666667,9,0,1,0,1,18,0.3333333333,"real",0.03125,0.375
"101",7041608,4594,35,9,40,2.1,19,16.99,7,0,1,0,1,20,0,"real",0,0.25
"102",210973,263,10,11,19,2.2272727273,22,19.2718181818,6,0,1,0,1,22,0.0454545455,"real",0,0
"103",831684,176,14,2,33,2.1111111111,8.5,12.8311111111,6,0,2,1,1,18,0.1666666667,"real",0.7,0.9
"104",1113108,1736,13,6,31,1.7777777778,8.5,8.8977777778,8,0,2,1,1,18,0.0555555556,"real",0,0
"105",1113108,1736,13,1,44,1.6666666667,8.5,7.5866666667,6,0,2,1,1,18,0.2777777778,"real",-0.15,0.366666666666667
"106",1113108,1736,29,7,38,1.4444444444,4,3.2094444444,1,0,2,2,1,9,0.3333333333,"real",0.166666666666667,0.166666666666667
"107",210973,263,0,293,67,2.25,7,14.08,3,0,1,1,1,8,0,"real",0,0
"108",1113108,1736,4,1,22,2.1428571429,4.3333333333,11.5157142857,4,0,3,3,1,14,0,"real",0,0
"109",12616688,61,36,19,38,2.05,10,12.5,6,0,2,1,1,20,0.1,"real",0.25,0.5
"110",26341733,71,2181,1730,21,2.7777777778,8,20.6977777778,5,0,1,1,1,9,0.1111111111,"real",0,0
"111",1113109,1736,9,2,21,1.6,4.5,5.24,2,0,2,1,1,10,0.1,"real",0.7,0.9
"112",210973,263,1,2,24,2.2,9,14.27,4,0,1,0,1,10,0,"real",0,0
"113",1113108,1736,20,6,10,1.8888888889,8,10.2088888889,4,0,1,1,1,9,0.1111111111,"real",0,0
"114",831684,176,25,7,42,2.2380952381,20,19.0095238095,7,0,1,0,1,21,0.0476190476,"real",-0.314285714285714,0.69047619047619
